"Chicago", "Fire Reserves"
"West Michigan", "Edge"
"Mid-Michigan", "Bucks"
"Indiana", "Invaders *"
"Kalamazoo", "Kingdom"
"Dayton", "Gemini *"
"Sioux Falls", "Spitfire"
"Des Moines", "Menace"
"Chicago", "Eagles Select"
"Thunder Bay", "Chill"
"Twin Cities", "Phoenix"
"Texas", "Spurs"
"Lafayette", "Lightning"
"Louisiana", "Outlaws"
"West Dallas", "Kings"
"Westchester", "Flames"
"Brooklyn", "Knights *"
"Vermont", "Voltage"
"New York", "Freedom *"
"North Jersey", "Imperials"
"Cape Cod", "Crusaders"
"Chesapeake", "Dragons *"
"Jersey", "Falcons"
"Cocoa", "Expos"
"Miami", "Strike Force"
"Bradenton", "Academics *"
"Central Florida", "Kraze"
"Tampa Bay", "Hawks"
"Palm Beach", "Pumas *"
"Calgary", "Storm"
"Seattle", "Sounders Select *"
"Spokane", "Shadow"
"Cascade", "Surge"
"Yakima", "Reds *"
"Okanagan", "Predators"
"Orange County", "Blue Star"
"Southern California", "Seahorses"
"Central Coast", "Roadrunners"
"San Fernando Valley", "Heroes"
"San Gabriel Valley", "Highlanders"
