"Chicago Fire Reserves", "20", "15", "4", "1", "49", "18", "+31", "11", "72"
"West Michigan Edge", "20", "13", "7", "0", "50", "42", "+8", "10", "62"
"Mid-Michigan Bucks", "20", "10", "9", "1", "43", "46", "-3", "7", "48"
"Indiana Invaders *", "19", "9", "9", "1", "37", "41", "-5", "9", "46"
"Kalamazoo Kingdom", "20", "9", "10", "1", "43", "39", "+4", "6", "43"
"Dayton Gemini *", "19", "5", "14", "0", "24", "48", "-24", "3", "23"
"Sioux Falls Spitfire", "17", "2", "1", "54", "19", "+35", "9", "78"
"Des Moines Menace", "11", "7", "2", "38", "23", "+15", "6", "52"
"Chicago Eagles Select", "8", "10", "2", "33", "33", "0", "4", "38"
"Thunder Bay Chill", "6", "13", "1", "26", "48", "-22", "3", "28"
"Twin Cities Phoenix", "3", "17", "0", "34", "61", "-27", "3", "15"
"Texas Spurs", "16", "3", "1", "68", "22", "+44", "12", "77"
"Lafayette Lightning", "13", "5", "2", "50", "49", "+1", "11", "65"
"Louisiana Outlaws", "7", "12", "1", "40", "56", "-16", "7", "36"
"West Dallas Kings", "6", "14", "0", "33", "49", "-16", "4", "28"
"Westchester Flames", "20", "13", "4", "3", "48", "25", "+23", "10", "65"
"Brooklyn Knights *", "19", "12", "6", "1", "48", "27", "+21", "8", "57"
"Vermont Voltage", "20", "10", "7", "3", "51", "25", "+26", "8", "51"
"New York Freedom *", "19", "10", "7", "2", "41", "33", "+8", "8", "50"
"North Jersey Imperials", "20", "10", "7", "3", "42", "40", "+2", "7", "50"
"Cape Cod Crusaders", "20", "9", "8", "3", "39", "36", "+3", "5", "44"
"Chesapeake Dragons *", "18", "4", "12", "2", "30", "45", "-15", "4", "22"
"Jersey Falcons", "20", "1", "19", "0", "19", "89", "-70", "2", "6"
"Cocoa Expos", "20", "14", "5", "1", "55", "37", "+18", "9", "66"
"Miami Strike Force", "20", "13", "7", "0", "46", "38", "+8", "8", "60"
"Bradenton Academics *", "19", "9", "9", "1", "40", "34", "+6", "6", "43"
"Central Florida Kraze", "20", "8", "11", "1", "37", "36", "+1", "4", "37"
"Tampa Bay Hawks", "20", "6", "12", "2", "39", "41", "-2", "6", "32"
"Palm Beach Pumas *", "19", "6", "12", "1", "30", "58", "-28", "4", "29"
"Calgary Storm", "20", "18", "2", "0", "47", "9", "+38", "8", "80"
"Seattle Sounders Select *", "19", "14", "5", "0", "42", "23", "+19", "7", "63"
"Spokane Shadow", "20", "12", "8", "0", "42", "31", "+11", "6", "54"
"Cascade Surge", "20", "7", "13", "0", "27", "42", "-15", "3", "31"
"Yakima Reds *", "19", "5", "13", "1", "20", "44", "-24", "1", "22"
"Okanagan Predators", "20", "2", "17", "1", "18", "47", "-29", "1", "10"
"Orange County Blue Star", "14", "6", "0", "51", "34", "+17", "10", "66"
"Southern California Seahorses", "13", "6", "1", "56", "30", "+26", "9", "62"
"Central Coast Roadrunners", "12", "8", "0", "53", "35", "+18", "8", "56"
"San Fernando Valley Heroes", "7", "11", "2", "38", "43", "-5", "5", "35"
"San Gabriel Valley Highlanders", "1", "17", "2", "12", "83", "-71", "1", "7"
