"2006", "present"
"1994", "present"
"1999", "2003"
"1990", "1997"
"2008", "present"
"1992", "1999"
"2003", "2007"
"2002", "present"
"1996", "2003"
"2003", "2008"
"1997", "1998"
"1989", "1994"
"1957(b?)-"
"1984", "1987"
"2003", "present"
"2009", "present"
"1994", "2001"
"1987", "1993"
"2004", "present"
"1973", "1974"
"2001", "present"
"1976(b)", "present"
"1977", "1983"
"1989", "present"
"1985", "1986"
"1998", "2001"
"2003", ""
"1975(b)", ""
"2005", "present"
"2000", "present"
"1997", "2003"
"1995", "present"
"1996", "present"
"1983", "1989"
"1983(b)", "present"
"2007", "present"
"2005", "present"
"1989", "present"
"2001", "present"
"1989", "1998"
"2004", "present"
"1992-2001"
"1998", "present"
"1986", "1989"
"1998", "present"
"2006", "present"
"2008", "present"
"1964(b)", "present"
"2010", "present"
"1988", ""
"1976(b)", "present"
"2005(?)", ""
"1981", "82"
"1992", "1999"
"2003", "2006"
"1996", "present"
"1998", "present"
"2000", "present"
"1987", "1993"
"1978", "1984"
"1997", ""
"1975(b)", "present"
"2002", "present"
"2006", "2009"
"2009", "present"
"2004", "present"
"1992-1996"
"1997", "present"
"1980", "1989"
"2002", "present"
"2006", "present"
"1957(b)", "present"
"1978(b)", "present"
"2007", "present"
"1999", "2005"
"2008", "present"
"2001", ""
"2004", "present"
"2004", "present"
"1993-2002"
"2001", "2005"
"1989", "present"
"1995", "1997"
"1998", "2005"
"2002", "present"
"2002", "?"
"1974-present"
"2004", "present"
"2009", "present"
"1997", "present"
"1998", "present"
"2003", "present"
"2007", "present"
"1976(b)", "present"
"1993", "1997"
"1991", "1999"
"1980", "1985"
"1999", "present"
"2008", "present"
"1948(b)", "present"
"2007", "present"
"1964", "1966"
"1999", "2004"
"1990", "1993"
"1983(b)", "present"
""
"1983", "1987"
"2010", "Present"
"1991", "2001"
"1998", "present"
"Rock"
"1994", "present"
"1974", "1980"
"1995", ""
"2005", "Present"
