"Abbe May & the Rocking Pnuemonia", "2006–present", "Indie rock", "The Fuzz"
"Adam Said Galore", "1994–present", "Indie rock", "Mukaizake"
"Adora", "1999–2003", "Indie rock", "The Avenues , Eskimo Joe , End Of Fashion , Little Birdy"
"Air Ensemble", "", "", "Cinema Prague , Seahorse Radio"
"Aisling", "", "", ""
"Alleged", "", "", ""
"Allegiance", "1990–1997", "Thrash metal", "Black Steel"
"Amanda Merdzan *", "2008–present", "Indie Folk", ""
"Ammonia", "1992–1999", "Rock", "Hideous Goldsteins, Dear Octopus, Cherrytones"
"Anodyne 500", "", "", ""
"A Month of Sundays", "", "", ""
"And An A", "", "", ""
"Antistatic", "2003–2007", "Hard rock", ""
"Apartment 99", "", "", "Apartment 25 , Plutonic Girl"
"Astronaut", "2002–present", "Electronic", "B Movie Heroes , Spencer Tracy , The Sleepy Jackson"
"Audio Response Group (ARG)", "", "", ""
"Autopilot", "1996–2003", "", "End Of Fashion , Basement Birds"
"The Avenues", "2003–2008", "Rock", "Cartman , Bordello, Adora"
"Brainchild", "1997–1998", "Funk , Hip-Hop", "Air Ensemble , Rollerskates , The Glummens , Lo-Key Fu"
"Alexanda, Cristian", "", "R&B", ""
"Baby Animals", "1989–1994, 2007–present", "Rock", ""
"Baker, James", "1957(b?)-", "Rock", "The Victims , The Scientists , Hoodoo Gurus , Beasts of Bourbon , The Dubrovniks"
"The Bamboos", "1984–1987", "Alternative rock", "New Christs , Neptunes , You Am I"
"The Bank Holidays", "2003–present", "Indie pop", "One Horse Town"
"Basement Birds", "2009–present", "Indie rock", "Eskimo Joe , Jebediah"
"Beaverloop", "1994–2001", "Alternative rock", "Downsyde"
"The Beekeepers", "1987–1993", "Folk pop", "Holocene , Blueline Medic , The Pilgrims"
"Birds of Tokyo", "2004–present", "Alternative rock", "Karnivool , Tragic Delicate"
"Bitch", "1973–1974", "Blues-rock", ""
"Bluetile Lounge", "", "", ""
"B Movie Heroes", "2001–present", "Psychedelic Swamp rock", "Intensely Mellow, Hypercentre, Willows Way, Purrvert, Deaf Jefferies, Hells Bells"
"Bob Evans (Mitchell, Kevin)", "1976(b)–present", "Indie music", "Jebediah"
"Boys", "1977–1983, 1987–1988", "Pop Metal / Rock", "Baby Animals"
"The Blackeyed Susans", "1989–present", "Rock", "Chad's Tree , Martha's Vineyard , Kim Salmon and the Surrealists"
"The Blackjacks", "1985–1986", "psychobilly", ""
"Braving the Seabed", "1998–2001", "indie rock", ""
"Bucket", "", "", ""
"The Burton Cool Suit", "2003–", "", "Turnstyle , Showbag! , Superscope , Dom Mariani and the Majestic Kelp"
"Butler, John", "1975(b)–", "Bluegrass , Jam band", "The John Butler Trio"
"Calerway", "2005–present", "Indie rock", "Saving Rushmore, Last Year's Hero"
"Capital City *", "2000–present", "Swamp rock / Blues", ""
"Cartman", "1997–2003", "Alternative rock", "The Avenues"
"Carus and The True Believers", "1995–present", "Folk / Country / Reggae / Rock", "The John Butler Trio , Eskimo Joe"
