"Abercromby", "Birkenbog"
"Acheson", "Glencairny"
"Agnew", "Lochnaw"
"Alexander", "Menstrie"
"Anstruther", "Anstruther"
"Anstruther", "Balcaskie"
"Arnot", "Arnot"
"Vernatti", "Carleton"
"Wallace", "Craigie Wallace"
"Wallace", "Craigie"
"Wardlaw", "Pitreavie"
"Wedderburn", "Balindean"
"Weir", "Blackwood"
"Wemyss", "Wemyss"
"Wemyss", "Bogie"
"Whitefoord", "Blairquhan"
"Widdrington", "Widdrington"
"Wishart, later Belshes, later Wishart-Belshes", "Clifton Hall"
"Wood", "Bonnytown"
"Eliott", "Stobs"
"Elliot", "Minto"
"Elphinstone", "Elphinstone"
"Elphinstone", "Logie"
"Erskine", "Alva"
"Erskine", "Cambo"
"Fairlie-Cuninghame", "Robertland"
"Falconer", "Glenfarquhar"
"Fergusson", "Kilkerran"
"Fleming", "Farme"
"Forbes, later Stuart-Forbes", "Monymusk"
"Forbes", "Castle Forbes"
"Forbes", "Craigievar"
"Forbes", "Foveran"
"Forrester", "Corstorphine"
"Fortescue", "Salden"
"Foulis, later Liston-Foulis", "Colintun"
"Foulis, later Primrose", "Ravelstoun"
"Fraser", "Durris"
"Gascoigne", "Barnbow"
"Gibb", "Carriber"
"Gibson-Craig-Carmichael", "Keirhill"
"Gilmour", "Craigmillar"
"Gilmour", "Edinburgh"
"Gordon", "Cluny"
"Gordon", "Dalpholly"
"Gordon", "Earlston"
"Gordon", "Embo"
"Gordon", "Haddo"
"Gordon", "Lesmore"
"Gordon", "Letterfourie"
"Gordon", "Lochinvar"
"Gordon", "Park"
"Graham", "Braco"
"Graham", "Gartmore"
"Grant-Suttie", "Balgone"
"Grant", "Dalvey"
"Grant", "Monymusk"
"Gray", "Denmiln"
"Grierson", "Lag"
"Guthrie", "Kingsward"
"Halkett", "Pitfirrane"
"Halkett"
"Hall", "Dunglass"
"Halyburton", "Pitcur"
"Hamilton-Dalrymple", "Bargeny"
"Hamilton", "Barnton"
"Hamilton", "Broomhill"
"Hamilton", "Haggs"
"Hamilton", "Killock"
"Hamilton, later Stirling-Hamilton", "Preston"
"Hamilton", "Rosehall"
"Hamilton", "Silverton Hill"
"Hamilton", "West Port"
"Hannay", "Mochrum"
"Hay", "Alderston"
"Hay", "Linplum"
"Hay", "Park"
"Hay", "Smithfield"
"Henderson", "Fordell"
"Heron-Maxwell", "Springkell"
"Hill", "Waughton"
"Holburn", "Menstrie"
"Home", "Blackadder"
"Home", "Lumdane"
"Home", "North Berwick"
"Home", "Renton"
"Home", "Wedderburn"
"Home-Purves-Hume-Campbell", "Purves Hall"
"Hope-Dunbar", "Baldoon"
"Hope", "Craighall"
"Hope", "Kerse"
"Hope", "Kirkliston"
"Houston", "Houston"
"Hume", "Polwarth"
