"Abercromby of Birkenbog", "1636", "Abercromby", "extinct 2003", ""
"Acheson of Glencairny", "1628", "Acheson", "extant", "sixth Baronet created Viscount Gosford in 1785; second Viscount created Earl of Gosford in 1806"
"Agnew of Lochnaw", "1629", "Agnew", "extant", ""
"Alexander of Menstrie", "1625", "Alexander", "extinct 1739", "first Baronet created Viscount of Stirling in 1630 and Earl of Stirling in 1633"
"Anstruther of Anstruther", "1700", "Anstruther", "extinct 1980", ""
"Anstruther of Balcaskie", "1694", "Anstruther", "extant", ""
"Arnot of Arnot", "1629", "Arnot", "extinct 1838", ""
"Vernatti of Carleton", "1634", "Vernatti", "presumed dormant some time after 1678"
"Wallace of Craigie Wallace", "c. 1638", "Wallace", "resigned 1659"
"Wallace of Craigie", "1670", "Wallace", "extinct 1770"
"Wardlaw of Pitreavie", "1631", "Wardlaw", "dormant 1983"
"Wedderburn of Balindean", "1704", "Wedderburn", "forfeit 1746"
"Weir of Blackwood", "1694", "Weir", "extinct 1735"
"Wemyss of Wemyss", "1625", "Wemyss", "dormant 1679"
"Wemyss of Bogie", "1704", "Wemyss", "dormant c. 1770"
"Whitefoord of Blairquhan", "1701", "Whitefoord", "dormant 1803"
"Widdrington of Widdrington", "1635", "Widdrington", "extinct 1671"
"Wishart, later Belshes, later Wishart-Belshes of Clifton Hall", "1706", "Wishart, Belshes, Wishart-Belshes", "dormant 1821"
"Wood of Bonnytown", "1666", "Wood", "extinct 1738"
"Eliott of Stobs", "1666", "Eliott", "extant", ""
"Elliot of Minto", "1700", "Elliot", "extant", "Merged with Earl of Minto 1813"
"Elphinstone of Elphinstone", "1628", "Elphinstone", "dormant 1645", ""
"Elphinstone of Logie", "1701", "Elphinstone", "extant", ""
"Erskine of Alva", "1666", "Erskine", "extant", "Merged with Earl of Rosslyn 1805"
"Erskine of Cambo", "1666", "Erskine", "extant", "Merged with Earl of Kellie 1797"
"Fairlie-Cuninghame of Robertland", "1630", "Cuninghame, later Cuninghame-Fairlie, later Fairlie-Cuninghame", "extant", ""
"Falconer of Glenfarquhar", "1670", "Farquhar", "extinct 1727", "Merged with Lord Falconer of Halkerton 1724"
