"Derek", "Anderson"
"Butch", "Beard"
"Ralph", "Beard"
"Brian", "Brohm"
"Greg", "Buckner"
"J.R.", "Vanhoose"
"Michael", "Bush"
"Mike", "Casey"
"Rex", "Chapman"
"Tim", "Couch"
"Dave", "Cowens"
"Johnny", "Cox"
"Richie", "Farmer"
"Travis", "Ford"
"Jack", "Givens"
"Darrell", "Griffith"
"Cliff", "Hagan"
"Clem", "Haskins"
"Allan", "Houston"
"Wallace", "'Wah Wah' Jones"
"Roy", "Kidd"
"Chris", "Lofton"
"O.J.", "Mayo"
"Darius", "Miller"
"Dirk", "Minniefield"
"Jim", "McDaniels"
"Frank", "Selvy"
"Mike", "Silliman"
"Greg", "Smith"
"Wes", "Unseld"
"Bill", "Walker (basketball)"
