"The Goon", "#1-3", "(Avatar Press)"
"The Goon", "#1-4", "(Dark Horse)"
"The Goon", "#5-8", "(Dark Horse)"
"The Goon", "#9-13", "(Dark Horse)"
"The Goon", "#14-18", "(Dark Horse)"
"Daredevil", "#1-6", "(Marvel)"
"Daredevil", "#7-12", "(Marvel)"
"Detective Comics", "1-4", "(DC Comics)"
"Detective Comics", "10-12", "(DC Comics)"
"Action Comics", "1-2", "(DC Comics)"
"Action Comics", "3-5", "(DC Comics)"
"Action Comics", "6-10", "(DC Comics)"
"Sandman", "1-10", "(Vertigo)"
"Preacher", "1-12", "(Vertigo)"
"Paper Girls", "1-6", "(Image Comics)"
"Paper Girls", "7-12", "(Image Comics)"
"The Walking Dead", "1-6", "(Image Comics)"
"The Walking Dead", "7-12", "(Image Comics)"
"The Walking Dead", "13-18", "(Image Comics)"
"Teenage Mutant Ninja Turtles", "1-10", "(IDW Publishing)"
