"The Goon #1-3 (Avatar Press)", "ISBN 1-59307-086-1"
"The Goon #1-4, The Goon Color Special (self published)", "ISBN 1-56971-998-5"
"The Goon #1-4 (Dark Horse)", "ISBN 1-59307-109-4"
"The Goon #5-8 (Dark Horse)", "ISBN 1-59307-292-9"
"The Goon #9-13 (Dark Horse)", "ISBN 1-59307-456-5"
"The Goon #14-18 (Dark Horse)", "ISBN 1-59307-646-0"
"originally released as Chinatown hardcover", "ISBN 1-59582-406-5"
"The Goon #19-23 (Dark Horse)", "ISBN 1-59582-311-5"
"The Goon #24-27 (Dark Horse)", "ISBN 1-59582-324-7"
"The Goon #28-31 (Dark Horse)", "ISBN 1-59582-346-8"
"The Goon #32-33, Buzzard #1-3 (Dark Horse)", "ISBN 1-59582-643-2"
"The Goon #34-37 (Dark Horse)", "ISBN 1-59582-881-8"
"The Goon #38-41 (Dark Horse)", "ISBN 1-61655-006-6"
"original hardcover (later released as The Goon vol. 6)", "ISBN 1-59307-833-1"
"a collection of short stories by various authors and artists", "ISBN 1-59307-785-8"
"The Goon #1-2 (self published), #1, 3, 5, 9 (Dark Horse)", "ISBN 1-59307-426-3"
"The Goon #2, 6, 11-13 (Dark Horse)", "ISBN 1-59307-918-4"
"The Goon #20-31 (Dark Horse)", "ISBN 1-59582-503-7"
