"Thalidomide"
"Lysergic acid diethylamide", "LSD)"
"Pradaxa"
"Yaz"
"Diethylstilbestrol"
"Phenformin and Buformin"
"Ticrynafen"
"Zimelidine"
"Phenacetin"
"Methaqualone"
"Nomifensine", "Merital)"
"Triazolam"
"Terodiline", "Micturin)"
"Temafloxacin"
"Flosequinan", "Manoplax)"
"Alpidem", "Ananxyl)"
"Chlormezanone", "Trancopal)"
"Fen-phen", "popular combination of fenfluramine and phentermine )"
"Tolrestat", "Alredase)"
"Terfenadine", "Seldane, Triludan)"
"Mibefradil", "Posicor)"
"Etretinate"
"Tolcapone", "Tasmar)"
"Temazepam", "Restoril, Euhypnos, Normison, Remestan, Tenox, Norkotral)"
"Astemizole", "Hismanal)"
"Grepafloxacin", "Raxar)"
"Levamisole", "Ergamisol)"
"Troglitazone", "Rezulin)"
"Alosetron", "Lotronex)"
"Cisapride", "Propulsid)"
"Amineptine", "Survector)"
"Phenylpropanolamine", "Propagest, Dexatrim )"
"Trovafloxacin", "Trovan)"
"Cerivastatin", "Baycol, Lipobay)"
"Rapacuronium", "Raplon)"
"Nefazodone"
"Rofecoxib", " Vioxx )"
"Co-proxamol", "Distalgesic)"
"mixed amphetamine salts", "Adderall XR)"
"hydromorphone extended-release", "Palladone)"
"Valdecoxib", "Bextra)"
"Thioridazine", "Melleril)"
"Pemoline", "Cylert)"
"Natalizumab", "Tysabri)"
"Ximelagatran", "Exanta)"
"Pergolide", "Permax)"
"Tegaserod", "Zelnorm)"
"Aprotinin", "Trasylol)"
"Inhaled insulin", "Exubera)"
"Lumiracoxib", "Prexige)"
"Rimonabant", "Acomplia)"
"Efalizumab", "Raptiva)"
"Sibutramine", "Reductil/Meridia)"
"Gemtuzumab ozogamicin", "Mylotarg)"
"Propoxyphene", "Darvocet/Darvon)"
"Rosiglitazone", "Avandia)"
"Drotrecogin alfa", "Xigris)"
