"50m freestyle", "Marleen Veldhuis Netherlands", "24.09 WR", "Hinkelien Schreuder Netherlands", "24.59", "Therese Alshammar Sweden", "24.71"
"100m freestyle", "Marleen Veldhuis Netherlands", "53.77", "Hanna-Maria Seppälä Finland", "54.04", "Inge Dekker Netherlands", "54.12"
"200m freestyle", "Sara Isaković Slovenia", "1:57.45", "Camelia Potec Romania", "1:57.47", "Ágnes Mutina Hungary", "1:58.06"
"400m freestyle", "Federica Pellegrini Italy", "4:01.53 WR", "Coralie Balmy France", "4:04.15", "Camelia Potec Romania", "4:05.62"
"800m freestyle", "Alessia Filippi Italy", "8:23.50", "Erika Villaécija García Spain", "8:24.08", "Camelia Potec Romania", "8:25.28"
"1,500m freestyle", "Flavia Rigamonti Switzerland", "15:58.54 CR", "Erika Villaécija García Spain", "16:02.08", "Lotte Friis Denmark", "16:11.26"
"50m backstroke", "Anastasia Zuyeva Russia", "28.05 ER", "Nina Zhivanevskaya Spain", "28.11", "Sanja Jovanović Croatia", "28.17"
"100m backstroke", "Anastasia Zuyeva Russia", "59.41 ER", "Laure Manaudou France", "1:00.05", "Nina Zhivanevskaya Spain", "1:00.29"
"200m backstroke", "Laure Manaudou France", "2:07.99", "Anastasia Zuyeva Russia", "2:09.59", "Nikolett Szepesi Hungary", "2:09.90"
"50m breaststroke", "Janne Schäfer Germany", "31.08 CR", "Yuliya Yefimova Russia", "31.41", "Mirna Jukić Austria", "31.59"
"100m breaststroke", "Mirna Jukić Austria", "1:08.18", "Alena Alekseeva Russia", "1:08.91", "Joline Höstman Sweden", "1:08.94"
"200m breaststroke", "Yuliya Yefimova Russia", "2:24.09 CR", "Mirna Jukić Austria", "2:24.58", "Alena Alekseeva Russia", "2:25.22"
"50m butterfly", "Chantal Groot Netherlands", "26.03", "Inge Dekker Netherlands", "26.30", "Sviatlana Khakhlova Belarus", "26.52"
"100m butterfly", "Sarah Sjöström Sweden", "58.44", "Inge Dekker Netherlands", "58.50", "Aurore Mongel France", "58.54"
"200m butterfly", "Aurore Mongel France", "2:06.59", "Emese Kovács Hungary", "2:06.71", "Mireia Belmonte García Spain", "2:09.32"
"200m individual medley", "Mireia Belmonte García Spain", "2:11.16 CR", "Evelyn Verrasztó Hungary", "2:12.93", "Camille Muffat France", "2:13.63"
"400m individual medley", "Alessia Filippi Italy", "4:36.68", "Katinka Hosszú Hungary", "4:37.43", "Yana Martynova Russia", "4:37.86"
"4×100m freestyle relay", "Inge Dekker Ranomi Kromowidjojo Femke Heemskerk Marleen Veldhuis Netherlands", "3:33.62 WR", "Erika Ferraioli Federica Pellegrini Maria Laura Simonetto Cristina Chiuso Italy", "3:41.06", "Claire Hedenskog Josefin Lillhage Ida Marko-Varga Magdalena Kuras Sweden", "3:41.28"
"4×200m freestyle relay", "Laure Manaudou Coralie Balmy Mylene Lazare Alena Popchanka France", "7:52.09", "Joanne Jackson Melanie Marshall Ellen Gandy Caitlin McClatchey Great Britain", "7:52.36", "Alice Carpanese Federica Pellegrini Alessia Filippi Renata Spagnolo Italy", "7:55.69"
"4×100m medley relay", "Elizabeth Simmonds Kate Haywood Jemma Lowe Francesca Halsall Great Britain", "3:59.33 ER", "Anastasia Zuyeva Yuliya Yefimova Natalya Sutyagina Daria Belyakina Russia", "4:00.47", "Hinkelien Schreuder Jolijn van Valkengoed Inge Dekker Marleen Veldhuis Netherlands", "4:04.41"
