"15 May 2005", "Falkenberg , Sweden", "Clay", "Sofia Arvidsson", "6–1, 6–3"
"21 May 2006", "Falkenberg , Sweden", "Clay", "Anne Schäfer", "6–2, 7–6"
"24 April 2007", "Bol, Croatia", "Clay", "Tereza Mrdeža", "6–1, 6–3"
"29 October 2007", "Stockholm , Sweden", "Hard (i)", "Nadja Roma", "6–2, 6–1"
"5 February 2008", "Sutton , United Kingdom", "Hard (I)", "Andrea Hlaváčková", "7–5, 6–0"
"11 February 2008", "Stockholm , Sweden", "Hard (i)", "Barbora Záhlavová-Strýcová", "0–6, 6–1, 7–6 (7–1)"
"5 October 2009", "Barnstaple , United Kingdom", "Hard (i)", "Pauline Parmentier", "6–2, 6–2"
"19 October 2009", "Glasgow , United Kingdom", "Hard (i)", "Melanie South", "6–1, 1–6, 6–3"
"28 February 2010", "Biberach , Germany", "Hard (i)", "Romina Oprandi", "4–6, 6–2, 6–2"
"8 March 2010", "Clearwater , United States", "Hard", "Shuai Zhang", "7–6, 6–0"
"22 March 2010", "Jersey , United Kingdom", "Hard (i)", "Anna Smith", "6–2, 6–3"
"2 July 2012", "Biella , Italy", "Clay", "Anna Tatishvili", "6–3, 6–4"
