"Are You Smarter Than a 5th Grader?", "Back to School"
"Are You Smarter Than a 5th Grader?", "Game Time"
"Army Men", "Soldiers of Misfortune"
"Barbie", "Groom and Glam Pups"
"Barbie Horse Adventures", "Riding Camp"
"Bass Pro Shops", "The Hunt"
"Bass Pro Shops", "The Strike"
"Batman", "The Brave and the Bold – The Videogame"
"Ben 10", "Alien Force"
"Cabela's African Adventures"
"Cabela's Big Game Hunter"
"Cabela's Big Game Hunter 2010"
"Cabela's Big Game Hunter 2012"
"Call of Duty", "Black Ops"
"Call of Duty", "Modern Warfare 3"
"Call of Duty", "World at War"
"Disney Sing It", "Family Hits"
"Disney Sing It! – High School Musical 3", "Senior Year"
"Disney Sing It", "Party Hits"
"Disney Sing It", "Pop Hits"
"Dragon Ball", "Revenge of King Piccolo"
"Dragon Ball Z", "Budokai Tenkaichi 2"
"Dragon Ball Z", "Budokai Tenkaichi 3"
"Dragon Blade", "Wrath of Fire"
"Dragon Quest Swords", "The Masked Queen and the Tower of Mirrors"
"Dragon Quest X", "Mezameshi Itsutsu no Shuzoku Online"
"Guitar Hero", "Aerosmith"
"Guitar Hero", "Metallica"
"Guitar Hero Smash Hits"
"Guitar Hero", "Van Halen"
"Guitar Hero", "Warriors of Rock"
"Hot Wheels", "Battle Force 5"
"Hot Wheels", "Beat That!"
"Hot Wheels", "Track Attack"
"Legend of Spyro", "Dawn of the Dragon, The The Legend of Spyro: Dawn of the Dragon"
"Legend of Spyro", "The Eternal Night, The The Legend of Spyro: The Eternal Night"
"Legend of Zelda", "Twilight Princess, The The Legend of Zelda: Twilight Princess"
"The Legend of Zelda", "Skyward Sword"
"Legend of the Guardians", "The Owls of Ga'Hoole"
"Lego Batman", "The Videogame"
"Lego Batman 2", "DC Superheroes"
"Lego Harry Potter", "Years 1-4"
"Lego Harry Potter", "Years 5-7"
"Lego Indiana Jones", "The Original Adventures"
"Lego Indiana Jones 2", "The Adventure Continues"
"Lego Pirates of the Caribbean", "The Video Game"
"Lego Rock Band"
"Lego Star Wars", "The Complete Saga"
"Lego Star Wars III", "The Clone Wars"
"Lego The Lord of the Rings"
"Need for Speed", "Carbon"
"Need for Speed", "ProStreet"
"Need for Speed", "Undercover"
"Need for Speed", "Nitro"
"Need for Speed", "Hot Pursuit"
"Need for Speed", "The Run"
"Petz", "Crazy Monkeyz"
"Prince of Persia", "Rival Swords"
"Prince of Persia", "The Forgotten Sands"
"Spider-Man", "Edge of Time"
"Spider-Man", "Friend or Foe"
"Spider-Man", "Shattered Dimensions"
"Spider-Man", "Web of Shadows"
"SpongeBob SquarePants featuring Nicktoons", "Globs of Doom"
"SpongeBob SquarePants", "Creature from the Krusty Krab"
"Transformers", "Cybertron Adventures"
"Transformers", "Dark of the Moon"
"Transformers", "Revenge of the Fallen"
"Transformers", "The Game"
"Transformers", "Prime – The Game"
"Trauma Center", "New Blood"
"Trauma Center", "Second Opinion"
"Yogi Bear Yogi Bear", "The Video Game PAL"
"Zhu Zhu Pets", "Featuring The Wild Bunch"
