"The $1,000,000 Pyramid", "Ludia", "Ubisoft", "2011", "", "", "✔"
"007: Quantum of Solace", "Beenox", "Activision Square Enix JP", "2008", "✔", "✔", "✔"
"10 Minute Solution", "Seamless Entertainment", "Activision", "2010", "", "", "✔"
"101-in-1 Party Megamix", "Nordcurrent", "Atlus Nordcurrent PAL", "2009", "", "✔", "✔"
"101-in-1 Sports Party Megamix", "Nordcurrent", "Atlus Nordcurrent PAL", "2010", "", "✔", "✔"
"250 Mannin no Kanken Wii de Tokoton Kanji Nou", "IE Institute", "Konami", "2008", "✔", "", ""
"428: Fūsa Sareta Shibuya de", "Chunsoft", "Sega", "2008", "✔", "", ""
"2010 FIFA World Cup South Africa", "HB Studios", "EA Sports", "2010", "", "✔", "✔"
"A Boy and His Blob", "WayForward Technologies", "Majesco", "2009", "", "✔", "✔"
"AC/DC Live: Rock Band Track Pack", "Harmonix Music Systems Pi Studios", "MTV Games", "2008", "", "✔", "✔"
"Academy of Champions: Soccer", "Ubisoft Vancouver", "Ubisoft", "2009", "", "", "✔"
"Action Girlz Racing", "Data Design Interactive", "Metro 3D", "2007", "", "✔", "✔"
"Active Life: Outdoor Challenge", "h.a.n.d.", "Namco Bandai", "2008", "✔", "✔", "✔"
"Active Life: Explorer", "Namco Bandai", "Namco Bandai", "2010", "", "", "✔"
"Active Life: Extreme Challenge", "Namco Bandai", "Namco Bandai", "2009", "✔", "✔", "✔"
"The Adventures of Tintin: The Secret of the Unicorn", "Ubisoft", "Ubisoft", "2011", "", "✔", "✔"
"AFL", "Wicked Witch Software", "Tru Blu Entertainment", "2011", "", "✔", ""
"Agatha Christie: And Then There Were None", "AWE Productions", "The Adventure Company", "2008", "", "✔", "✔"
"Agatha Christie: Evil Under the Sun", "AWE Productions", "The Adventure Company", "2008", "", "✔", "✔"
"Agent Hugo: Lemon Twist", "", "ITE Media", "2008", "", "✔", ""
"Aladdin Magic Racer", "Neko Entertainment", "Red Wagon", "2011", "", "✔", ""
"Alan Hansen's Sports Challenge", "Oxygen Studios", "Oxygen Games", "2007", "", "✔", ""
"Alice in Wonderland", "Étranges Libellules", "Disney Interactive", "2010", "", "✔", "✔"
"Alien Monster Bowling League", "", "Destineer", "2009", "", "", "✔"
"Alien Syndrome", "Totally Games", "Sega", "2007", "", "✔", "✔"
"Aliens in the Attic", "Playlogic", "Playlogic", "2009", "", "", "✔"
"All Round Hunter", "Beast Studios", "505 Games", "2010", "", "✔", "✔"
"All Star Cheer Squad", "Gorilla Systems", "THQ", "2008", "", "✔", "✔"
"All Star Cheer Squad 2", "Gorilla Systems", "THQ", "2009", "", "", "✔"
"All Star Karate", "", "THQ", "2010", "", "✔", "✔"
"Alone in the Dark", "Eden Games Hydravision", "Atari", "2008", "", "✔", "✔"
"Alvin and the Chipmunks", "Sensory Sweep Studios", "Brash Entertainment Fox Interactive", "2007", "", "✔", "✔"
"Alvin and the Chipmunks: Chipwrecked", "Behaviour Interactive", "Majesco 505 Games PAL", "2011", "", "✔", "✔"
"Alvin and the Chipmunks: The Squeakquel", "ImaginEngine", "Majesco", "2009", "", "", "✔"
"Amazing Animals", "", "Success", "2008", "✔", "", ""
"The Amazing Race", "Ludia", "Ubisoft", "2010", "", "", "✔"
"America's Next Top Model", "Digital Entertainment Pool", "Conspiracy Entertainment", "2010", "", "✔", "✔"
"American Mensa Academy", "", "Maximum Family Games", "2012", "", "✔", "✔"
"AMF Bowling Pinbusters!", "Atomic Planet", "Mad Duck Productions Bethesda Softworks PAL", "2007", "", "✔", "✔"
"AMF Bowling World Lanes", "Vir2L Studios", "Bethesda Softworks", "2008", "", "✔", "✔"
"Angry Birds Star Wars", "Rovio Entertainment", "Activision", "2013", "", "✔", "✔"
"Angry Birds Trilogy", "Rovio Entertainment", "Activision", "2013", "", "✔", "✔"
"Animal Crossing: City Folk", "Nintendo EAD", "Nintendo", "2008", "✔", "✔", "✔"
"Animal Kingdom: Wildlife Expedition", "", "Natsume", "2009", "", "✔", "✔"
"Animal Planet: Vet Life", "", "Activision", "2009", "", "", "✔"
"Anime Slot Revolution: Pachi-Slot Kidou Senshi Gundam II - Ai Senshi Hen", "", "Namco Bandai", "2007", "✔", "", ""
"Another Code: R – A Journey into Lost Memories", "Cing", "Nintendo", "2009", "✔", "✔", ""
"Ant Bully, The The Ant Bully", "Artificial Mind and Movement", "Midway Games", "2006", "", "✔", "✔"
"Anubis II", "Data Design Interactive", "Conspiracy Entertainment Metro 3D PAL", "2007", "", "✔", "✔"
"Aqua Panic!", "Eko System", "XS Games Jack of All Games", "2009", "", "✔", "✔"
"Aquatic Tales", "Gameinvest", "Gameinvest", "2009", "", "✔", ""
"Arc Rise Fantasia", "Imageepoch Marvelous Entertainment", "Ignition Entertainment Marvelous Entertainment JP", "2009", "✔", "", "✔"
"Arcade Shooter: Ilvelo", "", "Milestone UFO Interactive", "2010", "", "", "✔"
"Arcade Shooting Gallery", "", "Zoo Games", "2009", "", "", "✔"
"Arcade Zone", "", "Activision", "2009", "", "", "✔"
"Arctic Tale", "Atomic Planet", "DSI Games Zoo Digital Publishing PAL", "2007", "", "✔", "✔"
"Are You Smarter Than a 5th Grader?: Back to School", "", "THQ", "2010", "", "", "✔"
"Are You Smarter Than a 5th Grader?: Game Time", "", "THQ", "2009", "", "", "✔"
"Are You Smarter Than a 5th Grader?: Make the Grade", "", "THQ", "2008", "", "", "✔"
"Army Men: Soldiers of Misfortune", "", "DSI Games", "2008", "", "✔", "✔"
"Army Rescue", "", "UFO Interactive", "2009", "", "", "✔"
"Around the World in 50 Games", "", "Zoo Games", "2010", "", "", "✔"
"Ashes Cricket 2009", "Gusto Games", "Codemasters", "2009", "", "✔", ""
"Asterix at the Olympic Games", "Étranges Libellules", "Atari", "2007", "", "✔", ""
"Astro Boy: The Video Game", "High Voltage Software", "D3 Publisher", "2009", "", "✔", "✔"
"Atrévete a Soñar", "Televisa", "Nintendo", "2010", "", "", "✔"
"Attack of the Movies 3D", "Panic Button Games", "Majesco", "2010", "", "", "✔"
"ATV Quad Kings", "", "Zoo Games", "2009", "", "", "✔"
"Avatar: The Last Airbender", "THQ Tose", "THQ", "2006", "", "✔", "✔"
"Avatar: The Last Airbender – Into the Inferno", "Nick Games", "Play THQ", "2008", "", "✔", "✔"
"Avatar: The Last Airbender – The Burning Earth", "THQ", "THQ", "2007", "", "✔", "✔"
"Babysitting Mama", "Cooking Mama Limited", "Majesco Square Enix JP 505 Games PAL", "2010", "✔", "✔", "✔"
"The Bachelor: The Video Game", "Ludia", "Warner Bros. Interactive", "2010", "", "", "✔"
"Backyard Baseball '09", "Humongous Entertainment", "Atari", "2008", "", "", "✔"
"Backyard Baseball '10", "Humongous Entertainment", "Atari", "2009", "", "", "✔"
"Backyard Football", "Humongous Entertainment", "Atari", "2007", "", "", "✔"
"Backyard Football '09", "Humongous Entertainment", "Atari", "2008", "", "", "✔"
"Backyard Football '10", "Humongous Entertainment", "Atari", "2009", "", "", "✔"
"Backyard Sports: Sandlot Sluggers", "HB Studios , Humongous Entertainment", "Atari", "2010", "", "", "✔"
