"Stan Amour", "ALP", "1938–1965"
"Ken Anderson", "Liberal", "1953–1975"
"Hon John Armstrong", "ALP", "1938–1962"
"James Arnold", "ALP", "1941–1965"
"Archie Benn", "ALP", "1950–1968"
"Bill Aylett", "ALP", "1938–1965"
"George Branson", "Liberal", "1958–1971"
"Hon Gordon Brown", "ALP", "1932–1965"
"Nancy Buttfield", "Liberal", "1955–1965, 1968–1974"
"Hon Don Cameron", "ALP", 1938–1962"
"Harry Cant", "ALP", "1959–1974"
"George Cole", "DLP", "1950–1965"
"Joe Cooke", "ALP", "1947–1951, 1952–1965"
"Hon Walter Cooper", "Country", "1928–1932, 1935–1968"
"Hon Ben Courtice", "ALP", "1937–1962"
"Gordon Davidson", "Liberal", "1961, 1962, 1965–1981"
"Felix Dittmer", "ALP", "1959–1971"
"Tom Drake-Brockman", "Country", "1958, 1959–1978"
"Arnold Drury", "ALP", "1959–1975"
"Hon John Gorton", "Liberal", "1950–1968"
"Clive Hannaford", "Liberal", "1950–1967"
"George Hannan", "Liberal", "1956–1965, 1970–1974"
