"Most Oscar Awards", "John Ford", "4 awards", "1952", "Most Awards", "John Ford", "1952", "Awards resulted from 5 nominations."
"Most Oscar Nominations", "William Wyler", "12 nominations", "1965", "Most Nominations", "William Wyler", "1965", "Nominations resulted in 3 awards."
"Oldest Oscar Winner", "Clint Eastwood", "74 years old", "2004", "Oldest Winner", "Clint Eastwood", "2004", "Million Dollar Baby"
"Oldest Oscar Nominee", "John Huston", "79 years old", "1985", "Oldest Nominee", "John Huston", "1985", "Prizzi's Honor"
"Youngest Oscar Winner", "Norman Taurog", "32 years old", "1930 / 31", "Youngest Winner", "Norman Taurog", "1930 / 31", "Skippy"
"Youngest Oscar Nominee", "John Singleton", "24 years old", "1991", "Youngest Nominee", "John Singleton", "1991", "Boyz N the Hood"
"Most Oscar Awards", "Woody Allen", "3 awards", "2011", "Most Awards", "Woody Allen", "2011", "Awards resulted from 15 nominations."
"Most Oscar Nominations", "Woody Allen", "15 nominations", "2011", "Most Nominations", "Woody Allen", "2011", "Nominations resulted in 3 awards."
"Oldest Oscar Winner", "Woody Allen", "76 years old", "2011", "Oldest Winner", "Woody Allen", "2011", "Midnight in Paris"
"Youngest Oscar Winner", "Ben Affleck", "25 years old", "1997", "Youngest Winner", "Ben Affleck", "1997", "Good Will Hunting"
"Most Oscar Awards", "Katharine Hepburn", "4 awards", "1981", "Most Awards", "Katharine Hepburn", "1981", "Awards resulted from 12 nominations."
"Most Oscar Nominations", "Meryl Streep", "14 nominations", "2011", "Most Nominations", "Meryl Streep", "2011", "Nominations resulted in 2 awards."
"Oldest Oscar Winner", "Jessica Tandy", "80 years old", "1989", "Oldest Winner", "Jessica Tandy", "1989", "Driving Miss Daisy"
"Oldest Oscar Nominee", "Emmanuelle Riva", "85 years old", "2012", "Oldest Nominee", "Emmanuelle Riva", "2012", "Amour"
"Youngest Oscar Winner", "Marlee Matlin", "21 years old", "1986", "Youngest Winner", "Marlee Matlin", "1986", "Children of a Lesser God"
"Youngest Oscar Nominee", "Quvenzhané Wallis", "9 years old", "2012", "Youngest Nominee", "Quvenzhané Wallis", "2012", "Beasts of the Southern Wild"
