"Most Oscar Awards", "John Ford", "4 awards", "1952"
"Most Oscar Nominations", "William Wyler", "12 nominations", "1965"
"Oldest Oscar Winner", "Clint Eastwood", "74 years old", "2004"
"Oldest Oscar Nominee", "John Huston", "79 years old", "1985"
"Oldest Oscar Winner", "Woody Allen", "76 years old", "2011"
"Oldest Oscar Winner", "Jessica Tandy", "80 years old", "1989"
"Oldest Oscar Nominee", "Emmanuelle Riva", "85 years old", "2012"
"Youngest Oscar Winner", "Norman Taurog", "32 years old", "1930 / 31"
"Youngest Oscar Nominee", "John Singleton", "24 years old", "1991"
"Youngest Oscar Winner", "Ben Affleck", "25 years old", "1997"
"Youngest Oscar Winner", "Marlee Matlin", "21 years old", "1986"
"Youngest Oscar Nominee", "Quvenzhané Wallis", "9 years old", "2012"
"Most Oscar Awards", "Woody Allen", "3 awards", "2011"
"Most Oscar Nominations", "Woody Allen", "15 nominations", "2011"
"Most Oscar Awards", "Katharine Hepburn", "4 awards", "1981"
"Most Oscar Nominations", "Meryl Streep", "14 nominations", "2011"
