"The Red Shoes", "Eagle Lion", "$5,000,000", "The Red Shoes", "Eagle-Lion", "Moira Shearer"
"The Three Musketeers", "MGM", "$4,507,000", "The Three Musketeers", "MGM", "Lana Turner and Gene Kelly"
"Red River", "United Artists", "$4,500,000", "Red River", "United Artists", "John Wayne and Montgomery Clift"
"The Treasure of the Sierra Madre", "Warner Bros.", "$4,307,000", "The Treasure of the Sierra Madre", "Warner Bros.", "Humphrey Bogart"
"When My Baby Smiles at Me", "20th Century Fox", "$4,200,000", "When My Baby Smiles at Me", "20th Century Fox", "Betty Grable and Dan Dailey"
"Easter Parade", "MGM", "$4,100,000", "Easter Parade", "MGM", "Judy Garland and Fred Astaire"
"Johnny Belinda The Snake Pit", "Warner Bros 20th Century Fox", "$4,089,000", "Johnny Belinda The Snake Pit", "Warner Bros. 20th Century Fox", "Jane Wyman and Lew Ayres Olivia de Havilland"
"Joan of Arc", "RKO", "$4,000,000", "Joan of Arc", "RKO", "Ingrid Bergman", "Joan of Arc", "RKO", "Ingrid Bergman"
"Adventures of Don Juan", "Warner Bros", "$3,700,000", "Adventures of Don Juan", "Warner Bros.", "Errol Flynn"
"Homecoming", "MGM", "$3,420,000", "Homecoming", "MGM", "Clark Gable and Lana Turner"
"The Loves of Carmen", "Columbia", "$3,395,000", "The Loves of Carmen", "Columbia", "Rita Hayworth and Glenn Ford"
"Key Largo", "Warner Bros", "$3,289,000", "Key Largo", "Warner Bros.", "Humphrey Bogart , Edward G. Robinson and Lauren Bacall"
"That Lady in Ermine", "20th Century Fox", "$3,250,000", "That Lady in Ermine", "20th Century Fox", "Betty Grable"
"The Emperor Waltz", "Paramount", "$3,209,000", "The Emperor Waltz", "Paramount", "Bing Crosby and Joan Fontaine"
"The Search", "MGM", "$3,191,000", "The Search", "MGM", "Montgomery Clift"
"Mr Blandings Builds His Dream House", "RKO", "$3,140,000", "Mr. Blandings Builds His Dream House", "RKO", "Cary Grant and Myrna Loy"
"Hamlet", "Rank Film", "$3,075,000", "Hamlet", "Rank Film", "Laurence Olivier"
"State of the Union", "MGM", "$2,745,000", "State of the Union", "MGM", "Spencer Tracy and Katharine Hepburn"
"A Foreign Affair", "Paramount", "$2,450,000", "A Foreign Affair", "Paramount", "Jean Arthur , Marlene Dietrich and John Lund"
"Sorry Wrong Number", "Paramount", "$2,200,000", "Sorry, Wrong Number", "Paramount", "Barbara Stanwyck and Burt Lancaster"
