"The Red Shoes", "Eagle-Lion", "Moira Shearer"
"The Three Musketeers", "MGM", "Lana Turner and Gene Kelly"
"Red River", "United Artists", "John Wayne and Montgomery Clift"
"The Treasure of the Sierra Madre", "Warner Bros.", "Humphrey Bogart"
"When My Baby Smiles at Me", "20th Century Fox", "Betty Grable and Dan Dailey"
"Easter Parade", "MGM", "Judy Garland and Fred Astaire"
"Johnny Belinda The Snake Pit", "Warner Bros. 20th Century Fox", "Jane Wyman and Lew Ayres Olivia de Havilland"
"Joan of Arc", "RKO", "Ingrid Bergman"
"Adventures of Don Juan", "Warner Bros.", "Errol Flynn"
"Homecoming", "MGM", "Clark Gable and Lana Turner"
"The Loves of Carmen", "Columbia", "Rita Hayworth and Glenn Ford"
"Key Largo", "Warner Bros.", "Humphrey Bogart , Edward G. Robinson and Lauren Bacall"
"That Lady in Ermine", "20th Century Fox", "Betty Grable"
"The Emperor Waltz", "Paramount", "Bing Crosby and Joan Fontaine"
"The Search", "MGM", "Montgomery Clift"
"Mr. Blandings Builds His Dream House", "RKO", "Cary Grant and Myrna Loy"
"Hamlet", "Rank Film", "Laurence Olivier"
"State of the Union", "MGM", "Spencer Tracy and Katharine Hepburn"
"A Foreign Affair", "Paramount", "Jean Arthur , Marlene Dietrich and John Lund"
"Sorry, Wrong Number", "Paramount", "Barbara Stanwyck and Burt Lancaster"
