"One Love", "David Guetta", "Positiva / Virgin", "3 January", "One Love", "David Guetta"
"Want", "3OH!3", "Photo Finish", "10 January", "Want", "3OH!3"
"Running Trax", "Various artists", "Ministry of Sound", "17 January", "Running Trax", "Various artists"
"Funky House Classics", "Various artists", "Ministry of Sound", "31 January", "Funky House Classics", "Various artists"
"One Life Stand", "Hot Chip", "Parlophone", "7 February", "One Life Stand", "Hot Chip"
"Heligoland", "Massive Attack", "Virgin", "14 February", "Heligoland", "Massive Attack"
"Push It – Classic Party & Dance Tracks", "Various artists", "UMTV", "28 February", "Push It", "Various artists"
"Black Light", "Groove Armada", "Cooking Vinyl", "7 March", "Black Light", "Groove Armada"
"Plastic Beach", "Gorillaz", "Parlophone", "14 March", "Plastic Beach", "Gorillaz"
"Euphoria – A Decade of Trance Albums", "Various artists", "Ministry of Sound", "4 April", "Euphoria", "Various artists"
"Floorfillers – 90s Club Classics", "Various artists", "UMTV", "18 April", "Floorfillers", "Various artists"
"Clubland Smashed", "Various artists", "UMTV", "25 April", "Clubland Smashed", "Various artists"
"100 Chillout Classics", "Various artists", "Rhino", "2 May", "100 Chillout Classics", "Various artists"
"Where Did the Night Fall", "Unkle", "Surrender All", "16 May", "Where Did the Night Fall", "Unkle"
"The Dance", "Faithless", "Nate's Tunes", "23 May", "The Dance", "Faithless"
"Chilled Acoustic", "Various artists", "Ministry of Sound", "30 May", "Chilled Acoustic", "Various artists"
"Won't Go Quietly", "Example", "Data", "27 June", "Won't Go Quietly", "Example"
"Clubland 17", "Various artists", "AATW /UMTV", "4 July", "Clubland 17", "Various artists"
"Club Anthems 2010", "Various artists", "EMI", "18 July", "Club Anthems 2010", "Various artists"
"Gatecrasher Anthems – Paul van Dyk", "Various artists", "Rhino", "25 July", "Gatecrasher Anthems", "Various artists"
